Name,Team,Age,WAR,IP,FA% (pfx),vFA (pfx),FA-X (pfx),FA-Z (pfx),FT% (pfx),vFT (pfx),FT-X (pfx),FT-Z (pfx),FC% (pfx),vFC (pfx),FC-X (pfx),FC-Z (pfx),FS% (pfx),vFS (pfx),FS-X (pfx),FS-Z (pfx),SI% (pfx),vSI (pfx),SI-X (pfx),SI-Z (pfx),SL% (pfx),vSL (pfx),SL-X (pfx),SL-Z (pfx),CU% (pfx),vCU (pfx),CU-X (pfx),CU-Z (pfx),CH% (pfx),vCH (pfx),CH-X (pfx),CH-Z (pfx),playerid
Kyle Gibson,Rangers,32,0.3,67.1,14.20%,92.3,-3.8,9.5,,,,,,,,,,,,,35.50%,92.2,-8.4,7.7,24.70%,83,2.3,0.1,7.80%,78.7,2.9,-4.6,17.80%,84.4,-8.9,4.3,10123
Adrian Houser,Brewers,27,0.4,55,20.30%,93.8,-4.2,9,,,,,,,,,,,,,43.70%,93.2,-8.8,4.5,12.30%,85.6,2.5,1.3,12.00%,80.5,2.5,-7.8,11.60%,84.9,-6.8,3.1,12718
Josh Lindblom,Brewers,33,0.8,43.1,34.50%,90.1,-3.5,9.7,,,,,19.60%,85.7,1.4,5.1,10.30%,83.3,-4.7,4.7,,,,,17.10%,75.9,8.3,-0.1,9.30%,71,8.7,-7.7,9.20%,84.1,-8.9,5.2,7882
Jose Urena,Marlins,28,-0.1,23.1,19.20%,95.6,-6.5,8.1,,,,,,,,,,,,,41.90%,95.3,-9.5,4.4,32.10%,85.6,0.4,2.8,,,,,6.80%,90.1,-8.2,6.6,11589
Johnny Cueto,Giants,34,0.5,63.1,32.20%,91.4,-6.6,8.4,,,,,,,,,,,,,11.50%,90.9,-9.8,5.9,9.50%,84.7,-0.1,4.2,19.10%,80.7,1.2,0.1,26.90%,82.5,-7.1,2.8,6893
Johan Oviedo,Cardinals,22,0.1,24.2,56.10%,94.8,-2.5,6.4,,,,,,,,,,,,,,,,,29.70%,84.9,3.3,0.4,10.40%,77,6.3,-4.6,3.80%,87.4,-6.6,5.5,22487
Vince Velasquez,Phillies,28,0.6,31,52.00%,93.7,-3.6,11.2,,,,,,,,,,,,,4.90%,93.2,-8.3,6.7,12.40%,86.4,2.9,2.3,,,,,15.00%,88.3,-8.3,4.1,11189
Jonathan Brubaker,Pirates,26,0.5,42.1,14.70%,93.5,-5.5,8.5,,,,,,,,,,,,,34.80%,93.7,-9.7,5.8,32.20%,87.5,0,1.9,13.60%,80.5,3.9,-4,4.60%,88,-7.5,5.2,17578
Frankie Montas,Athletics,27,0.5,53,24.00%,95.8,-4.7,10.6,,,,,,,,,12.90%,86.4,-7.5,3.1,38.10%,95.6,-9.1,8,25.10%,86.1,3,1.2,,,,,,,,,14309
Rick Porcello,Mets,31,1.7,59,10.50%,91.6,-4.8,9.5,,,,,,,,,,,,,42.60%,90.1,-9.4,6.2,29.20%,86.2,1,4.5,5.10%,74.9,5.3,-3,12.60%,81.8,-8.6,4.3,2717
Logan Webb,Giants,23,0.6,48.2,33.00%,93,-5.6,7,,,,,5.90%,90.5,-1.5,4.8,,,,,12.60%,91.7,-10.6,3.2,16.40%,81.5,6.3,-0.6,,,,,32.20%,84.6,-7.7,-1.1,17995
Chase Anderson,Blue Jays,32,0.2,26.1,33.70%,92.6,-4,10.3,,,,,20.20%,87.5,2.1,4.8,,,,,6.50%,92.3,-7.5,9,,,,,16.80%,77.2,3.2,-8.4,22.80%,82.7,-9.6,8,6895
Ross Stripling,- - -,30,-0.4,41.1,44.90%,91.6,-3.3,10.9,,,,,,,,,,,,,0.40%,91.6,-6.7,11.4,12.20%,85,2.4,1.8,,,,,17.60%,84.5,-6.7,5.5,13273
Spencer Howard,Phillies,23,0,24.1,56.50%,94,-6.4,10.6,,,,,,,,,,,,,,,,,21.60%,84.5,2.5,1.2,5.90%,73.3,1.8,-11.2,15.90%,79.6,-7.4,6.8,23252
Tarik Skubal,Tigers,23,0,27,58.90%,94.4,7.3,10.1,,,,,1.40%,95.4,3.1,9.7,,,,,,,,,16.30%,86.1,-0.4,1.7,7.90%,76.7,-1.7,-6.1,15.50%,83.5,6.1,8.7,22267
Alex Young,Diamondbacks,26,0,31.1,18.80%,91.3,6.4,9.3,,,,,17.10%,86.5,1,6,0.20%,89,3.6,7.7,15.50%,90.3,10.1,5.5,,,,,25.50%,81.8,-0.7,-0.7,22.90%,85.3,8.6,2.9,18333
Ryan Castellani,Rockies,24,-0.7,41.1,48.00%,92.4,-6.5,7.1,,,,,,,,,,,,,,,,,17.00%,84.9,1.3,1.3,17.40%,79.4,5,-4.9,17.60%,85.9,-7.7,4,16377
Trevor Rogers,Marlins,22,0.4,28,55.30%,93.4,8.6,8.7,,,,,,,,,,,,,5.50%,93.7,10.7,8.6,21.80%,81,0.1,2.2,,,,,17.40%,84.4,9.3,0.5,22286
Jorge Lopez,Orioles,27,0.2,29.1,21.00%,94.1,-6,8.6,,,,,,,,,,,,,38.50%,93.5,-9.6,6.5,,,,,,,,,8.80%,86.5,-8.7,4,14527
Seth Lugo,Mets,30,0.1,26.1,31.40%,93.2,-5.1,9.8,,,,,,,,,,,,,23.50%,92.8,-9.4,7.1,13.20%,87,1,4.1,20.80%,78.2,6.6,-10.5,11.20%,87.6,-8.7,5.7,12447
Trevor Williams,Pirates,28,-0.4,55.1,42.70%,91.5,-2.5,7.6,,,,,,,,,,,,,8.40%,89.6,-7.9,4.4,26.10%,82.7,3.5,0.1,7.70%,78,4.6,-1.7,15.20%,85.1,-7.9,4.8,16977
Josh Tomlin,Braves,35,0.1,21.1,21.70%,88.2,-5.4,9.9,,,,,49.70%,85.4,0.9,6.2,,,,,1.00%,87.8,-8.4,10.3,,,,,23.90%,76.5,1.8,-2.9,3.80%,84.3,-8.7,5.8,9388
Austin Voth,Nationals,28,-0.2,49.2,61.10%,92,-4.2,9.7,,,,,12.40%,86.5,-0.2,5.2,3.00%,86,-7,4.8,,,,,,,,,23.50%,78.3,6.9,-2.3,,,,,15047
Madison Bumgarner,Diamondbacks,30,-0.5,41.2,39.20%,88.4,4.5,9.9,,,,,36.30%,83.5,-1.5,4.4,,,,,0.60%,88.2,7.9,8.5,,,,,22.70%,76.9,-5.4,-1.2,1.30%,83.1,7.6,4.9,5524
Reynaldo Lopez,White Sox,26,-0.5,26.1,51.40%,94.2,-4.5,9.9,,,,,,,,,,,,,,,,,28.20%,81.9,2.1,0.2,,,,,20.40%,83.6,-6.6,7,16400
Luke Weaver,Diamondbacks,26,0.5,52,54.00%,94,-4.6,10.7,,,,,11.80%,88.3,0.9,6.6,,,,,,,,,,,,,6.90%,79,1.5,-5.3,27.30%,84.7,-7.9,6.4,16918
Anibal Sanchez,Nationals,36,0.2,53,27.80%,89.1,-3.1,9.7,,,,,21.20%,87.3,0.3,7,29.20%,81.7,-7.8,4.1,9.10%,89.6,-7.1,8.7,,,,,6.10%,76.2,2.2,-1.1,6.50%,69.4,-5.2,3.6,3284
James Paxton,Yankees,31,0.3,20.1,56.70%,92.1,8.9,8.3,,,,,14.90%,85.4,1,3.5,,,,,,,,,,,,,,,,,12.60%,82,9.5,3.2,11828
Tommy Milone,- - -,33,0.5,39,42.80%,86.1,5.7,11,,,,,,,,,,,,,2.60%,86.1,7.6,10.7,11.50%,79.5,-1.1,3.5,4.20%,75.1,-1,-1.7,39.00%,78.9,9.4,5.1,7608
Jon Gray,Rockies,28,0.5,39,39.20%,93.9,-6.6,6.3,,,,,,,,,,,,,10.20%,94.5,-8.8,7.4,29.20%,86.3,1.1,2.6,8.40%,77.8,5,-3,13.10%,86.5,-6.2,6.7,14916
Matthew Boyd,Tigers,29,0,60.1,48.90%,91.7,7.1,8.2,,,,,,,,,,,,,3.80%,90.9,9.6,6.8,22.70%,79.3,-1,-2,7.50%,74.1,-6.6,-8.3,17.20%,79.1,9.7,3.9,15440
Patrick Sandoval,Angels,23,-0.3,25.1,46.60%,92.9,3.1,9,,,,,,,,,,,,,,,,,21.80%,85.1,-3.3,1.9,8.00%,78.1,-3.7,-5.7,23.60%,84.3,6.7,5.8,19447
Tanner Roark,Blue Jays,33,-0.4,47.2,31.60%,90.6,-2.5,10.4,,,,,,,,,,,,,22.90%,90.5,-6.8,9.2,17.90%,84.1,1.3,4.5,14.80%,73.1,6.1,-8.8,12.90%,81,-6.1,6.6,8753
Robbie Ray,- - -,28,-0.4,48.1,47.40%,93.9,6.2,9.9,,,,,,,,,,,,,3.60%,93.4,9,8.3,30.70%,86.6,0.6,4.4,15.40%,83.5,0.3,-0.8,2.90%,89.5,5.4,9.8,11486
Jakob Junis,Royals,27,-0.3,23.1,35.90%,91,-2.9,8.1,,,,,,,,,,,,,15.60%,90.6,-7.1,5.3,43.80%,79.9,8.7,-1.8,,,,,4.70%,84.3,-5.8,3.7,13619
Casey Mize,Tigers,23,-0.1,28.1,26.50%,93.7,-6.8,8.5,,,,,,,,,17.90%,86,-7.6,-0.3,25.80%,93.5,-10.2,4.7,19.70%,88.4,-1.2,3.2,,,,,,,,,20492
Brandon Bielak,Astros,24,-0.5,21.2,52.40%,93.2,-5.4,9.6,,,,,11.20%,88.9,1.3,4.4,,,,,,,,,10.40%,83.4,3.8,0.5,8.40%,79.6,3.2,-9,17.60%,86.3,-9.6,4.1,19866
Michael Wacha,Mets,28,0.1,30,41.70%,93.5,-5,9.8,,,,,28.70%,88.7,1,4.2,,,,,,,,,,,,,1.10%,75.3,6.6,-4.3,28.50%,86.7,-8,4.4,14078
Anthony DeSclafani,Reds,30,-0.2,29.2,27.90%,94.9,-5,9.3,,,,,,,,,,,,,23.00%,95,-8.1,7.2,31.40%,86.3,1.9,-0.7,,,,,7.50%,88.4,-8.8,3.4,13050
Touki Toussaint,Braves,24,-0.3,20.1,36.00%,94.1,-4.9,8.1,,,,,,,,,21.50%,85.2,-5.5,1.3,6.00%,92.6,-10.2,3.6,8.00%,85.4,2,0,28.50%,75.6,6.5,-7.4,,,,,16929
Jordan Lyles,Rangers,29,-0.2,43.2,45.30%,92.3,-5.1,10.3,,,,,,,,,,,,,3.40%,91.6,-8.8,7.8,12.70%,85.7,1.9,2.4,29.10%,79.5,3,-8.2,9.60%,86.8,-8.1,6.3,7593
Wade LeBlanc,Orioles,35,-0.1,22.1,4.90%,86.8,6,9.1,,,,,27.90%,83.6,0.3,5.2,,,,,19.10%,86.9,9.5,6.4,,,,,12.80%,72.9,-6.7,-3.1,35.00%,78.9,8.7,4.6,5221
Derek Holland,Pirates,33,-0.5,26.1,3.90%,92.1,7.5,8.9,,,,,,,,,,,,,45.20%,92.2,9.8,7.6,,,,,,,,,17.90%,84.3,7.7,8.7,4141
Michael Fulmer,Tigers,27,-0.3,27.2,27.70%,93.2,-3.5,9.3,,,,,,,,,,,,,34.70%,93,-9,6.5,23.10%,87.6,2,3.4,4.90%,77.8,7,-2.9,9.70%,86.7,-8.1,3.5,13218
Kolby Allard,Rangers,22,0.3,29.2,45.60%,91.5,5.6,9.4,,,,,31.80%,86.7,-0.9,4.1,,,,,,,,,,,,,10.30%,76.8,-2.2,-5.7,12.20%,82.5,7.9,7.1,18694
Zack Godley,Red Sox,30,-0.6,24.2,6.20%,90,-3.9,7.1,,,,,36.60%,88.7,-0.6,5,,,,,9.00%,89.4,-8.4,3.6,,,,,,,,,10.80%,83.1,-7.8,0.8,14862
Carlos Martinez,Cardinals,28,-0.2,20,33.20%,93.4,-5,7.4,,,,,1.00%,91.5,-1.4,3.8,,,,,17.70%,91.6,-9.5,3.5,28.20%,82.7,6.3,0.7,,,,,20.00%,85.7,-9.6,-0.3,11682
Steven Matz,Mets,29,-0.5,25.2,,,,,,,,,,,,,,,,,53.40%,94.4,9,7.3,3.00%,89.7,1.6,3.1,15.80%,77.7,-7.4,-5.7,27.80%,84.7,9.8,1.2,13361
Julio Teheran,Angels,29,-0.8,26.1,25.70%,89.3,-5.1,7.4,,,,,,,,,,,,,34.40%,88.9,-9.9,3,19.40%,81.1,1.4,1.8,9.10%,72.4,6.4,-2.7,11.30%,82.1,-9.2,5,6797
